Date,Pptn,PET,cum_effective_storage_mm,cum_designed_spill_cap_mm,cum_res_cat_area_km2,streamflow_mm
1997-11-09,0.0635847061609696,2.9907885,467.9791632,141.1986209,1372.75435466,0.5047177739146771
1997-11-10,3.07689821155928,1.8527036,467.9791632,141.1986209,1372.75435466,0.4059154460513797
1997-11-11,10.533794224646998,1.5928158,467.9791632,141.1986209,1372.75435466,0.6090261138570437
1997-11-12,2.6734036315673197,1.5585934,467.9791632,141.1986209,1372.75435466,0.5689545815038178
1997-11-13,5.8152024481708775,2.320946,467.9791632,141.1986209,1372.75435466,0.5851667281810772
1997-11-14,3.1190619972247187,2.6965594,467.9791632,141.1986209,1372.75435466,0.5047177739146771
1997-11-15,7.321160753900311,2.6567202,467.9791632,141.1986209,1372.75435466,0.57751948918237
1997-11-16,3.638938041922796,2.9806495,467.9791632,141.1986209,1372.75435466,0.4894232959172627
1997-11-17,0.04107919249067,2.923789,467.9791632,141.1986209,1372.75435466,0.5759900413826284
1997-11-18,0.3974009449751722,2.6435947,467.9791632,141.1986209,1372.75435466,0.5591661155854727
1997-11-19,0.5165779463234811,2.478546,467.9791632,141.1986209,1372.75435466,0.5502953183469722
1997-11-20,5.212057949287433,2.7927496,467.9791632,141.1986209,1372.75435466,0.5417304106684202
1997-11-21,0.0215680485591863,2.6010838,467.9791632,141.1986209,1372.75435466,0.5209299205919365
1997-11-22,0.0,2.7758856,467.9791632,141.1986209,1372.75435466,0.5105296755536947
1997-11-23,0.0570384547947035,2.8044028,467.9791632,141.1986209,1372.75435466,0.4282453839276048
1997-11-24,0.0,2.8600721,467.9791632,141.1986209,1372.75435466,0.5010470991952977
1997-11-25,0.0,2.6398294,467.9791632,141.1986209,1372.75435466,0.496152866236125
1997-11-26,2.5929357507136117e-05,1.7736726,467.9791632,141.1986209,1372.75435466,0.4842231733981417
1997-11-27,0.1451218976169086,2.0026076,467.9791632,141.1986209,1372.75435466,0.4680110267208824
1997-11-28,3.5140507886751955,1.9494594,467.9791632,141.1986209,1372.75435466,0.5071648903942634
1997-11-29,2.8134768835636166,1.9374022,467.9791632,141.1986209,1372.75435466,0.5178710249924536
1997-11-30,2.179494925659936e-05,2.4098685,467.9791632,141.1986209,1372.75435466,0.4894232959172627
1997-12-01,0.8358202790432693,2.6570723,467.9791632,141.1986209,1372.75435466,0.4989058722756596
1997-12-02,4.2053513854363335e-05,2.9429398,467.9791632,141.1986209,1372.75435466,0.4875879585575729
1997-12-03,0.0,2.8610418,467.9791632,141.1986209,1372.75435466,0.4777994926392276
1997-12-04,0.0,2.6503508,467.9791632,141.1986209,1372.75435466,0.4805524986787622
1997-12-05,0.0,2.8209171,467.9791632,141.1986209,1372.75435466,0.4588343399224337
1997-12-06,0.0,2.084077,467.9791632,141.1986209,1372.75435466,0.4545518860831576
1997-12-07,0.0003015978979885,1.5652332,467.9791632,141.1986209,1372.75435466,0.4221275927286391
1997-12-08,2.234639976907461,1.1585399,467.9791632,141.1986209,1372.75435466,0.4484340948841919
1997-12-09,30.55671659683329,2.2883425,467.9791632,141.1986209,1372.75435466,0.3762441587363956
1997-12-10,2.781481599623999,2.6665025,467.9791632,141.1986209,1372.75435466,0.4811642777986589
1997-12-11,0.0,2.7958503,467.9791632,141.1986209,1372.75435466,0.4826937255984003
1997-12-12,0.0,2.4763575,467.9791632,141.1986209,1372.75435466,0.4319160586469843
1997-12-13,0.0,1.9749244,467.9791632,141.1986209,1372.75435466,0.4221275927286391
1997-12-14,0.0,2.5059116,467.9791632,141.1986209,1372.75435466,0.4221275927286391
1997-12-15,0.0,2.6809876,467.9791632,141.1986209,1372.75435466,0.4869761794376763
1997-12-16,0.0,2.6011858,467.9791632,141.1986209,1372.75435466,0.3976564279327759
1997-12-17,1.0929249847924858,2.4760308,467.9791632,141.1986209,1372.75435466,0.3976564279327759
1997-12-18,0.0,2.4419546,467.9791632,141.1986209,1372.75435466,0.3976564279327759
1997-12-19,0.0,2.4417832,467.9791632,141.1986209,1372.75435466,0.3976564279327759
1997-12-20,0.0,2.7431583,467.9791632,141.1986209,1372.75435466,0.4221275927286391
1997-12-21,0.0,2.5144062,467.9791632,141.1986209,1372.75435466,0.4221275927286391
1997-12-22,0.0,2.6000335,467.9791632,141.1986209,1372.75435466,0.4309983899671394
1997-12-23,0.0,2.6162834,467.9791632,141.1986209,1372.75435466,0.4221275927286391
1997-12-24,0.0,2.62557,467.9791632,141.1986209,1372.75435466,0.3976564279327759
1997-12-25,0.0,2.594573,467.9791632,141.1986209,1372.75435466,0.3976564279327759
